Version	Symbol	Value
1	ALWAYS_ATTEMPT_RECRUIT	No
1	BATTLE_DEFAULT_CHAR_ENERGY_DRAIN	20
1	BATTLE_DEFAULT_ENERGY_DRAIN	24
1	BATTLE_SUCCESS_REGIMENT_RIDERS	4
1	BATTLE_SUCCESS_REGIMENT_WARRIORS	5
1	CHARACTER_AUTO_SEEK	Yes
1	CHARACTER_AUTO_UNHIDE	Yes
1	CHARACTER_DEFAULT	CH_LUXOR|CH_RORTHRON|CH_TARITHEL
1	CHARACTER_DEFAULT_ENERGY_INC	9
1	CHARACTER_DEFAULT_MEMORY_AGE	10
1	CHARACTER_FOE	CH_SHARETH
1	CHARACTER_FRIEND	CH_LUXOR
1	CHARACTER_GUARD_AMOUNT	100
1	CHARACTER_MAX_ENERGY	255
1	CHARACTER_MAX_RIDERS	1275
1	CHARACTER_MAX_WARRIORS	1275
1	CHARACTER_RECRUIT_AMOUNT	100
1	COLLATE_BATTLE_AREAS	No
1	CONTROLLED_CHARACTER	0
1	COURAGE_SCALE	1
1	DATABASE_VERSION	1
1	DAYS	0
1	DESPONDENT_SCALE	32
1	ENERGY_CANNOT_CONTINUE	0
1	ENERGY_MAX	127
1	ENERGY_SCALE	32
1	FEAR_SCALE	64
1	LOOKFORWARDDISTANCE	3
1	MAP_FILE	map
1	MAP_HEIGHT	62
1	MAP_WIDTH	66
1	MAX_ARMIES_IN_LOCATION	64
1	MAX_CHARACTERS_FOLLOWING	32
1	MAX_CHARACTERS_IN_LOCATION	32
1	MAX_FOE_ARMIES_IN_LOCATION	32
1	MAX_FRIEND_ARMIES_IN_LOCATION	32
1	MAX_REGIMENTS_IN_LOCATION	64
1	MAX_ROUTENODES_IN_LOCATION	1
1	MAX_STRONGHOLDS_IN_LOCATION	1
1	OBJECT_ENERGY_SHADOWSOFDEATH	0
1	OBJECT_ENERGY_SHELTER	10
1	OBJECT_ENERGY_WATERSOFLIFE	255
1	RECKLESS_SCALE	32
1	REGIMENT_DEFAULT_MOVES	6
1	RIDERS_DEFAULT_ENERGY_INC	6
1	RIDERS_MAX_ENERGY	255
1	SEEK_MESSAGES	
1	STRENGTH_MAX	100
1	STRONGHOLD_ADJUSTER	0
1	STRONGHOLD_DEFAULT_ALLOW_RESPAWN	Yes
1	STRONGHOLD_DEFAULT_EMPTY	20
1	STRONGHOLD_DEFAULT_MAX	1275
1	STRONGHOLD_DEFAULT_MIN	100
1	STRONGHOLD_DEFAULT_RESPAWN_AMOUNT	50
1	SUCCESS_BASE_LEVEL	24
1	SUCCESS_FEY_ON_HORSE_ADJUSTER	64
1	SUCCESS_RIDERS_ENERGY_MOUNTAIN	32
1	SUCCESS_RIDERS_ENERGY_OTHER	64
1	TIME_DAWN	31
1	TIME_NIGHT	0
1	TIME_SCALE	4
1	WARRIORS_DEFAULT_ENERGY_INC	4
1	WARRIORS_MAX_ENERGY	255
