Name	Type	Value
BATTLE_DEFAULT_ENERGY_DRAIN	Number	24
BATTLE_DEFAULT_CHAR_ENERGY_DRAIN	Number	20
BATTLE_SUCCESS_REGIMENT_WARRIORS	Number	5
BATTLE_SUCCESS_REGIMENT_RIDERS	Number	4
CHARACTER_DEFAULT_ENERGY_INC	Number	9
CHARACTER_RECRUIT_AMOUNT	Number	100
CHARACTER_GUARD_AMOUNT	Number	100
CHARACTER_MAX_RIDERS	Number	1200
CHARACTER_MAX_WARRIORS	Number	1200
CHARACTER_MAX_ENERGY	Number	127
WARRIORS_MAX_ENERGY	Number	127
WARRIORS_DEFAULT_ENERGY_INC	Number	4
RIDERS_DEFAULT_ENERGY_INC	Number	6
RIDERS_MAX_ENERGY	Number	127
OBJECT_ENERGY_SHELTER	Number	10
OBJECT_ENERGY_SHADOWSOFDEATH	Number	0
OBJECT_ENERGY_WATERSOFLIFE	Number	120
LOOKFORWARDDISTANCE	Number	3
REGIMENT_DEFAULT_MOVES	Number	6
STRONGHOLD_DEFAULT_EMPTY	Number	20
STRONGHOLD_DEFAULT_MIN	Number	100
STRONGHOLD_DEFAULT_MAX	Number	1200
STRONGHOLD_DEFAULT_ALLOW_RESPAWN	Yes/No	NO
STRONGHOLD_DEFAULT_RESPAWN_AMOUNT	Number	50
SUCCESS_FEY_ON_HORSE_ADJUSTER	Number	64
SUCCESS_BASE_LEVEL	Number	24
SUCCESS_RIDERS_ENERGY_MOUNTAIN	Number	32
SUCCESS_RIDERS_ENERGY_OTHER	Number	64
ALWAYS_ATTEMPT_RECRUIT	Yes/No	FALSE
MAP_FILE	String	map
MAP_WIDTH	Number	66
MAP_HEIGHT	Number	63
CHARACTER_AUTO_UNHIDE	Yes/No	NO
CHARACTER_AUTO_SEEK	Yes/No	NO
CHARACTER_DEFAULT_MEMORY_AGE	Yes/No	10
DATABASE_VERSION	Number	1.00
TIME_NIGHT	Number	0
TIME_DAWN	Number	16
TIME_SLICES	Number	2
CHARACTER_FRIEND	Id	CH_LUXOR
CHARACTER_FOE	Id	CH_DOOMDARK
CHARACTER_DEFAULT	IdArray	CH_LUXOR|CH_MORKIN|CH_CORLETH|CH_RORTHRON
SEEK_MESSAGES	IdArray	SS_SEEK_MSG1|SS_SEEK_MSG2|SS_SEEK_MSG3|SS_SEEK_MSG4
